,0
0,Curso Intensivo de Python: uma Introdução Prática e Baseada em Projetos à Programação
1,Introdução à Programação com Python – 4ª Edição: Algoritmos e lógica de programação para iniciantes
2,"Python Para Análise de Dados: Tratamento de Dados com Pandas, NumPy & Jupyter"
3,Pense em Python: Pense Como um Cientista da Computação
4,Data Science do zero: noções fundamentais com Python
5,Introdução à Programação com Python: Algoritmos e Lógica de Programação Para Iniciantes
6,Use a cabeça! Python ― 2ª edição
7,Sistemas de Controle com Python: Resposta em Frequência
8,Python para excel: um ambiente moderno para automação e análise de dados (O’Reilly)
9,Problemas Clássicos de Ciência da Computação com Python
10,Web Scraping com Python: Coletando Mais Dados da web Moderna
11,"Python e Mercado Financeiro: Programação Para Estudantes, Investidores e Analistas"
12,Começando a programar em Python Para leigos
13,Fundamentos de Python: Primeiros Programas
14,Python Para Ciência de Dados: uma Introdução Prática
15,"Python Levado a Sério: Conselhos de um Faixa-preta Sobre Implantação, Escalabilidade, Testes e Outros Assuntos"
16,Python para Data Science: e Machine Learning descomplicado
17,Introdução à Computação Usando Python - um Foco no Desenvolvimento de Aplicações
18,O Guia do Mochileiro Python: Melhores Práticas Para Desenvolvimento
19,Python para Data Science Para Leigos: os primeiros passos para o sucesso
20,Jornada Python: uma Jornada Imersiva na Aplicabilidade de uma das Mais Poderosas Linguagens de Programação do Mundo (Volume 1)
21,400+ Exercícios Resolvidos e Comentados em Python: Do básico ao avançado
22,"Python Fluente: Programação Clara, Concisa e Eficaz"
23,6 em 1 - Coleção Python do ZERO às Redes Neurais Artificiais
24,"Estruturas de Dados e Algoritmos com Python: Armazene, manipule e acesse dados de forma eficaz e melhore o desempenho de suas aplicações"
25,Lógica de programação: A construção de algoritmos e estruturas de dados com aplicações em Python
26,"Streamlit Faça Tudo! Desenvolva Aplicação web, Dashboards, Ciência de Dados e Plotagem de Mapas.: Do Iniciante ao Avançado!"
27,"Projetos com Python e Arduino: Como Desenvolver Projetos Práticos de Eletrônica, Automação e Iot"
28,Python Eficaz: 59 Maneiras de Programar Melhor em Python
29,Machine Learning – Guia de Referência Rápida: Trabalhando com Dados Estruturados em Python
30,"Mãos à obra aprendizado de máquina com Scikit-Learn, Keras & TensorFlow: conceitos, ferramentas e técnicas para a construção de sistemas inteligentes"
31,Entendendo Algoritmos: Um Guia Ilustrado Para Programadores e Outros Curiosos
32,Python Essencial (Série Programação Essencial)
33,Python e R para o Cientista de Dados Moderno: O melhor de dois mundos
34,Aprendendo Padrões de Projeto em Python: Tire Proveito da Eficácia dos Padrões de Projeto (design Patterns) em Python Para Resolver Problemas do Mundo Real em Arquitetura e Design de Software
35,Fundamentos de Python: Estruturas de Dados
36,Curso Intensivo de MySQL: Introdução Prática ao Desenvolvimento Baseado em Banco de Dados
37,Matemática com Python: um Guia Prático
38,"Programação Python com ChatGPT: O guia do iniciante para aprender o básico de Python com ChatGPT, com exemplos de código"
39,Python Para Desenvolvedores: Aborda Python 3.3
40,Data Science para negócios: o que você precisa saber sobre mineração de dados e pensamento analítico de dados
41,PYTHON TOTAL - Fernando Feltrin
42,Como Automatizar as suas planilhas do Excel e Google Sheets com Python: Ganhe tempo e dinheiro colocando suas planilhas chatas e repetitivas no automático (produtividadeprogramada.com.br)
43,Python + Numpy na Prática!!!: Aprenda manipulação de arrays através de exercícios comentados.
44,"Estatística: O que é, para que serve, como funciona"
45,Python Direto Ao Ponto
46,Python Para Pentest
47,Introdução à Linguagem SQL: Abordagem Prática Para Iniciantes
48,Programador Autodidata: Guia Definitivo Para Programar Profissionalmente
49,DOMINANDO PYTHON CURSO COMPLETO
50,Criando Microsserviços – 2ª Edição: Projetando sistemas com componentes menores e mais especializados
51,Introdução a Linguagem de Programação Python
52,Python 3 Conceitos e Aplicações: Uma Abordagem Didática
53,Construindo Chatbots com Python: Usando Natural Language Processing e Machine Learning
54,Engenharia de Software para Ciência de Dados: Um guia de boas práticas com ênfase na construção de sistemas de Machine Learning em Python
55,Fundamentos de programação Python: Aprender fazendo
56,Python do ZERO à Programação Orientada a Objetos
57,Aumente sua Produtividade com Python: 20 Códigos Incríveis Prontos para Usar
58,Python Aplicado: Bolsa de Valores - Um guia para construção de análises e indicadores
59,Introdução à Programação para Bioinformática com Biopython
60,Introdução à Programação para Engenharia - Usando a Linguagem Python
61,"Manual de Análise de Dados – Estatística e Machine Learning com Excel®, SPSS®, Stata®, R® e Python®"
62,Python: Guia prático do básico ao avançado (Cientista de dados Livro 2)
63,Ciência de Dados - Fundamentos e Aplicações
64,SQL Para Análise de Dados: Técnicas Avançadas Para Transformar Dados em Insights
65,Aprenda programar Python + Django framework: Curso de criação de softwares completos
66,Python Para Data Science Para Leigos
67,Dominando Python: 100+ Exercícios Resolvidos e Comentados para Acelerar seu Aprendizado (Dominando a Programação)
68,Estatística prática para cientistas de dados: 50 conceitos essenciais
69,Programação prática com python: Do básico aos conceitos avançados
70,Desenvolvimento web com Django 3 Cookbook: Soluções Práticas Para Problemas Comuns no Desenvolvimento web com Python
71,50 CÓDIGOS PRONTOS FEITOS EM PYTHON EDITION 2 (Série Python Masterclass: Códigos Prontos e Passo a Passo)
72,"Mini Curso de Python: Todo o necessário para você criar seus primeiros programas em Python, em menos de 50 páginas de conteúdo!"
73,Python:: Introdução à Inteligência Artificial
74,Programação Python com ChatGPT: ChatGPT solicita que você passe do iniciante ao avançado na programação python
75,Fluxo do trabalho com dados: do zero à prática
76,Cientista da Computação Autodidata: Guia de Estruturas de Dados e Algoritmos Para o Iniciante
77,"Python: Guia prático de Programação: Uma abordagem simples, para verdadeiros iniciantes (produtividadeprogramada.com.br)"
78,Introdução a Programação com Python
79,Expressões Regulares: Uma Abordagem Divertida
80,Domain-driven design: atacando as complexidades no coração do software
81,"Domine o Python (3 em 1): Python Data Science, Python em 60 minutos e Aumente sua Produtividade com Python"
82,100 Conhecimentos Essenciais para Iniciantes em Python
83,O Grande Livro de Raciocínio e Lógica
84,Programação Python: aprenda de forma rápida
85,Introdução à Visão Computacional: Uma abordagem prática com Python e OpenCV
86,O livro da matemática
87,Python sem Mistérios
88,O Guia da Carreira-Solo dos Membros do Monty Python: De 1970 ao Covid-19
89,Python para crianças
90,Tratamento de Dados com Python + Pandas
91,"TDD com Python: Siga o Bode dos Testes: Usando Django, Selenium e JavaScript"
92,O Grande Livro do Excel - Intermediário e Avançado
93,Python em 60 minutos: Guia Rápido para Iniciantes
94,PYTHON GAMES: INTRODUÇÃO À PROGRAMAÇÃO COM PYTHON E JOGOS
95,Bancos de Dados Relacionais com Python e SQL
96,Python Automação Suprema: Domine as Melhores Soluções para Impulsionar sua Produtividade e Transformar sua Vida (Programação Descomplicada: Domine as Linguagens do Futuro de um jeito rápido e fácil)
97,Python em 60 minutos: Guia Rápido para Iniciantes
98,Interfaces Gráficas Modernas com Python e Flet
99,Algoritmos Em Python: Explica Algoritmos Python com Belas Imagens Aprenda Fácil e Melhor
100,"Projetos de Ciência de Dados com Python: Abordagem de Estudo de Caso Para a Criação de Projetos de Ciência de Dados Bem-sucedidos Usando Python, Pandas e Scikit-learn"
101,Microsserviços Prontos Para a Produção: Construindo Sistemas Padronizados em uma Organização de Engenharia de Software
102,Algoritmos: Lógica Para Desenvolvimento de Programação de Computadores - Edição Revisada e Atualizada
103,Análise prática de séries temporais: predição com estatística e aprendizado de máquina
104,Automatização com Python: Automatização com Python
105,Python Cookbook
106,Storytelling com dados: um guia sobre visualização de dados para profissionais de negócios
107,Python + TensorFlow 2.X - Fernando Feltrin
108,"Desenvolvendo aplicativos com GPT-4 e ChatGPT: Crie chatbots inteligentes, geradores de conteúdo e muito mais"
109,PYTHON NA PRÁTICA: Aprenda Linguagem Python Através de Projetos Reais
110,Python: Escreva seus primeiros programas
111,Interfaces Gráficas com Python + PyQt6
112,Introdução à computação e programação usando Python
113,Python: Escreva seus primeiros programas
114,Fundamentos de Python para Ciência de Dados
115,PYTHON NA PRÁTICA: Aprenda Linguagem Python Através de Projetos Reais
116,Python Cookbook
117,Interfaces Gráficas com Python + PyQt6
118,Python para Ciência de Dados: Introdução à Análise de Dados
119,Introdução à Visão Computacional em Python: Fernando Feltrin
120,Blockchain e Criptomoedas em Python
121,Python: guia básico para iniciantes
122,Introdução à Linguagem Python
123,Programação do Raspberry Pi com Python: Aprenda a Programar no Pequeno Computador Mais Popular do Mundo
124,Aprenda Logica de Programação com Python: Desenvolva habilidades essenciais para qualquer desenvolvedor de software e prepare-se para criar suas próprias aplicações com a linguagem amigável Python.
125,Fundamentos em Python: Guia completo para Iniciantes (Fundamentos em programação e computação)
126,Aprenda Python Básico - Rápido e Fácil de entender
127,Começando a programar em Python Para leigos
128,Aprenda Python do Jeito Certo: Uma introdução muito simples ao incrível mundo dos computadores e da codificação
129,Programação Orientada à Objetos Avançada em Python: Versão Definitiva
130,PYTHON TOTAL Volume 4
131,Introdução ao Python Para Engenharia Química
132,"Domine o Excel ® (3 em 1): Excel - 70 Fórmulas Incríveis, Excel - 51 Macros incríveis e 51 Dicas e Truques Incríveis"
133,Python e Django: Desenvolvimento web Moderno e ágil
134,Python na Prática Vol. 3 (Python na Prática - Fernando Feltrin)
135,Primeiros passos com Django
136,50 CÓDIGOS PRONTOS FEITOS EM PYTHON : LIVRO EDIÇÃO PORTUGUÊS (Série Python Masterclass: Códigos Prontos e Passo a Passo 1)
137,Data Science Para Programadores. Um Guia Completo Utilizando a Linguagem Python
138,Jornada Python: uma jornada imersiva na aplicabilidade de uma das mais poderosas linguagens de programação do mundo
139,Automatize Tarefas Maçantes com Python: Programação Prática Para Verdadeiros Iniciantes
140,300 Exercícios Resolvidos e Comentados em Python
141,Código limpo: habilidades práticas do Agile software
142,"Aprenda Lógica de Programação e Algoritmos com Implementações em Portugol, Scratch, C, Java, C# e Python"
143,Aplicações Avançadas de Visão Computacional: Da Teoria à Prática
144,Séries temporais com Prophet: Análise e previsão de dados com Python
145,Aplicativos Multiplataforma em Python
146,"Django de A a Z: Crie aplicações web rápidas, seguras e escaláveis com Python"
147,Introdução ao MongoDB
148,A arte da estatística: Como aprender a partir de dados
149,Python para Pentesters: Guia prático para criação das próprias ferramentas
150,Python Para Todos: Explorando Dados com Python 3
151,Mestre em Programação com Python: Uma Jornada Profunda e Transformadora para Iniciantes na Ciência da Computação
152,Python e os Paradigmas da Programação
153,SQL - Guia Prático: um Guia Para o uso de SQL
154,CSS Grid Layout: Criando Layouts CSS Profissionais
155,Econometria Financeira: um Curso em Séries Temporais Financeiras
156,"PYTHON BÁSICO - Anotações, Exemplos, Exercícios e Projetos: Vários exercícios e projetos básicos do ""hello world"" até o ""for"" com resoluções comentadas (Python, do básico ao avançado! Livro 1)"
157,Aprendendo Química com python
158,Introdução À Algoritmia e Programação com Python
159,Python descomplicado com o Chatgpt.
160,Programação Orientada à Objetos AVANÇADA em Python: Fernando Feltrin
161,"Informação, conhecimento, ação autônoma e big data: continuidade ou revolução?"
162,Python do zero ao absoluto : Curso Completo de Linguagem de Programação Python
163,Análise de Séries Temporais: Modelos Multivariados e Não Lineares (Volume 2)
164,Aprenda mineração de dados: teoria e prática
165,Programação Orientada à Objetos em Python: Do Básico ao Avançado
166,Tratamento de Dados com Python + Pandas: Versão Estendida
167,Modelos Matemáticos para Sistemas Logísticos e de Produção: Aplicações com MathProg e Python
168,Fundamentos de Análise Numérica. Com Python 3 e R
169,Introdução ao Desenvolvimento de Jogos em Python com PyGame
170,Desenvolvimento web com Flask: Desenvolvendo aplicações web com Python
171,Programação de redes com Python: Guia abrangente de programação e gerenciamento de redes com Python 3
172,Programação Matemática: Otimização Linear e Não Linear
173,Use a cabeça! Aprenda a programar: aprenda a programar
174,Python na Prática Vol. 2: Aprenda Python Através de Exercícios Comentados (Python na Prática - Fernando Feltrin)
175,"Aprenda Django 3 com Exemplos: Crie Aplicações web Profissionais em Python, Começando do Zero"
176,Python para todos 2: Intermediário com 22 projetos e 140 vídeos
177,Reconhecimento de Padrões: um Estudo Dirigido
178,Chatbots para Telegram: Programe seus primeiros bots usando Python
179,Curso Básico da Linguagem C
180,Deixe seu código limpo e brilhante: Desmistificando Clean Code com Java e Python
181,Desenvolvimento web com Flask: Desenvolvendo aplicações web com Python
182,Python Data Science: Do básico ao intermediário
183,Domínio de Python e Django: Construindo Aplicações Web
184,Coletânea PYTHON TOTAL: Edição Redes Neurais Artificiais
185,Programação Orientada a Objetos com Python
186,Python Poderoso: Dominando a Linguagem
187,Método de Volumes Finitos Aplicado à Condução de Calor: Uma abordagem com Python
188,Consumindo a API do Zabbix com Python
189,Introdução a Algoritmos e Programação com Python - Uma Abordagem Dirigida Por Testes
190,Pandas Python: Data Wrangling para Ciência de Dados
191,Programação Orientada a Objetos – Conceitos e técnicas
192,Python Progressivo
193,Algoritmos e Programação I: Python para Matemática (Notas de Aula)
194,+100 Problemas com soluções e Projetos com Python: Exercícios do nível iniciante até o super avançado para exercitar sua logica de programação
195,Flask de A a Z: Crie aplicações web mais completas e robustas em Python
196,Aprenda a programar com Python: Descomplicando o desenvolvimento de software
197,"A próxima onda: Inteligência artificial, poder e o maior dilema do século XXI"
198,Python na Prática Vol. 2: Aprenda Python Através de Exercícios Comentados (Python na Prática - Fernando Feltrin)
199,"Análise Exploratória de Dados com Python, Pandas e Numpy"
200,Pipeline de Dados e ETL : Um Guia Prático para Engenheiros de Dados
201,Desenvolvimento Avançado de Aplicativos com Python e KivyMD
202,Introdução à programação em Python (Série Universitária)
203,50 FUNÇÕES PANDAS COM EXEMPLOS PRÁTICOS (PYTHON) EDITION PORTUGUÊS (Série Python Masterclass: Códigos Prontos e Passo a Passo Livro 3)
204,Visão Computacional em Python: Do básico às redes neurais artificiais: Versão Estendida
205,Python Além da Teoria
206,Álgebra Linear com Python: Aprenda na prática os principais conceitos (Cientista de dados - Analista Quant Livro 1)
207,Tópicos de análise de dados Python
208,Coletânea PYTHON TOTAL: Edição Exercícios Resolvidos e Comentados em Python
209,Coletânea PYTHON TOTAL Volume 3
210,Controladores Lógicos Programáveis: Sistemas Discretos
211,Python para todos: Iniciante
212,Fundamentos Algorítmicos Negociação Com Pythonseu
213,Python para Todos - Apostila do curso: Aprenda a criar diversas aplicações
214,Automação em Python: Aprenda em 2h
215,"Python, ChatGPT e Django REST: Seu Guia para Dominar APIs Poderosas e Não Ficar Obsoleto: Desenvolva Habilidades Essenciais e Mantenha-se à Frente da Concorrência no Mundo da Programação"
216,Processamento de linguagem natural com Python: Simplesmente em profundidade
217,Domínio da Inteligência Artificial com Python: Do Básico ao Avançado
218,Use a cabeça! Programação: programação
219,Introdução à Orientação a Objetos com C++ e Python: Uma abordagem prática
220,Documentação do PyGame
221,Design de Microsserviços com Django: uma Visão Geral das Ferramentas e Práticas
222,50 FUNÇÕES PANDAS COM EXEMPLOS PRÁTICOS (PYTHON) EDITION PORTUGUÊS (Série Python Masterclass: Códigos Prontos e Passo a Passo Livro 3)
223,CRUD em Python
224,CRUD em Python
225,Design de Microsserviços com Django: uma Visão Geral das Ferramentas e Práticas
226,MongoDB. Construa Novas Aplicações com Novas Tecnologias
227,Guia Prático Python & Flask: Aprenda a criar aplicações web usando o mini framework mais usado na atualidade
228,Inteligência artificial – aplicações e desafios
229,Deep Learning em Python: Versão Estendida
230,Guia Oficial Raspberry Pi Para Iniciantes: Como Utilizar O Seu Novo Computador
231,Automação em Python: Aprenda em 2h
232,Introdução às Expressões Regulares
233,Arquitetura de software distribuído: Boas práticas para um mundo de microsserviços
234,Python Para Universitários: Aprenda Programação Orientada a Objetos (POO) Passo a Passo
235,Programação em Python. Fundamentos e Resolução de Problemas
236,Domine Python em 2h
237,360 Exercícios Resolvidos e Comentados em Python (Exercícios Resolvidos e Comentados em Python - Fernando Feltrin Livro 3)
238,Refatoração: Aperfeiçoando o Design de Códigos Existentes
239,Algoritmos e Lógica da Programação
240,A Linguagem de Programação Go
241,Guia Python Definitivo Para Iniciantes: Evolução e trabalho na área de Tecnologia
242,O codificador limpo: um código de conduta para programadores profissionais
243,Web Scraping com Python: Coletando Dados na Web Moderna
244,Introdução a Programação com Python
245,Python para todos: Iniciante
246,FastAPI: Construa APIs em Python: Aprenda de uma vez por todas e sem enrolação (Programação para Iniciantes)
247,O Zen do Python: Uma Introdução Suave à Programação
248,Python em 100 Páginas: Aprenda os fundamentos de forma rápida e prática
249,CRUD em Python: Versão Estendida
250,Tópicos Especiais em Python: Volume 3 (Tópicos Especiais em Python - Fernando Feltrin)
251,Utilizando a linguagem Python para Análises de dados com Chat GPT: Data Science
252,Python - 20% que eu preciso saber para ter 80% de resultados
253,Coletânea Python Bootcamp: (Exercícios em Python)
254,Black Hat Python: Programação Python Para Hackers e Pentesters
255,A História (Quase) Definitiva de Monty Python: Cinco britânicos e um americano que reinventaram o nonsense e viraram o mundo de ponta-cabeça
256,A História (Quase) Definitiva de Monty Python: Cinco britânicos e um americano que reinventaram o nonsense e viraram o mundo de ponta-cabeça
257,Modelagem Matemática de Doenças Infecciosas: com aplicação em Python para COVID-19
258,Wild Lovers (San Diego Pythons Livro 2)
259,COLETÂNEA PYTHON NA PRÁTICA: Fernando Feltrin
260,"Aplicações Web com Python, Flet e Dash"
261,Raspberry PI: guia do usuário
262,Construindo Aplicações web com PHP e MySQL
263,Python para todos 3: CSS + HTML
264,Documentação do Python
265,Introducao A Programacao Numerica Em Python
266,Ensinando Programação em Python para Crianças: 5 Projetos Simples e Práticos!
267,"Bata em 100 bibliotecas Python: série de aprendizagem de 1 hora, edição 2024"
268,Programação funcional Para Leigos
269,Algoritmos Genéticos
270,Coletânea Python Best Sellers - Fernando Feltrin
271,PYTHON TOTAL - Volume 2: Fernando Feltrin
272,Python para Gestores: Um guia prático para programação no mundo dos negócios
273,Deep Learning em Python: Versão Estendida
274,Guia Oficial Raspberry Pi Para Iniciantes: Como Utilizar O Seu Novo Computador
275,Computação Numérica: Métodos e Implementações
276,Python. Algoritmia e Programação Web
277,Estruturas de Dados e Algoritmos com JavaScript: Escreva um Código JavaScript Complexo e Eficaz Usando a Mais Recente ECMAScript
278,"Introdução à Programação Científica: Trabalhando com MATLAB®, Scilab e Python"
279,PUDIM PROJECT: Python Volume 02 - Funções Essenciais (Python PUDIM PROJECT Livro 2)
280,Aprendendo Python: Um guia básico de programação
281,Mergulhando No Python
282,Python Rad (Rapid Application Development) - Aplicacao Para Web e Desktop
283,PUDIM PROJECT: Python Volume 06 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 6)
284,Data smart: usando data science para transformar informação em insight
285,Aprendizado Profundo Para Finanças
286,Análise de dados Python para novatos: numpy/pandas/matplotlib/sklearn/keras
287,Sistemas Orientados a Objetos: Teoria e Prática com UML e Java
288,Sistemas Orientados a Objetos: Teoria e Prática com UML e Java
289,PUDIM PROJECT: Python Volume 06 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 6)
290,Fundamentos da Programação Lógica e Funcional: o Princípio de Resolução e a Teoria de Reescrita
291,Python Descomplicado: P
292,Como usar o Chatgpt para programar em python
293,Práticas de Python. Algoritmia e Programação
294,Cálculo Diferencial e Integral de Funções de Uma Variável com Python
295,"Análise preditiva Para Leigos: o poder de predizer quem vai clicar, comprar, mentir ou morrer"
296,As Regras da Programação: Como criar códigos melhores
297,Python De A A Z
298,"Introdução à Programação Científica: Trabalhando com MATLAB®, Scilab e Python"
299,Princípios de Ecologia Numérica: com exemplos em Python
300,Aplicações Web com Python e Dash: Do Básico ao Avançado
301,Trilhas Python: Programação multiparadigma e desenvolvimento Web com Flask
302,COLETÂNEA Interfaces Gráficas com Python: Fernando Feltrin
303,Redes bayesianas: aplicações em confiabilidade e no diagnóstico de perdas não técnicas
304,"Apaixone-se pelo problema, não pela solução"
305,Trilhas Python: Programação multiparadigma e desenvolvimento Web com Flask
306,COLETÂNEA Interfaces Gráficas com Python: Fernando Feltrin
307,INTRODUÇÃO À PROGRAMAÇÃO CIENTÍFICA COM PYTHON
308,Introdução à Economia
309,Ensine Seus Filhos a Programar: Um Guia Amigável aos Pais Para a Programação Python
310,Python + AWS Lambda + AWS API Gateway: Crie um sistema backend completo Serverless em nuvem AWS.
311,Redes bayesianas: aplicações em confiabilidade e no diagnóstico de perdas não técnicas
312,Documentação do PyInstaller
313,Manual Básico da Linguagem R: Introdução à análise de dados com a linguagem R e o RStudio para área da saúde
314,Fundamentos da analise Tecnica: A Teoria de Dow
315,Dicionário de Termos Técnicos de Informática - 3a. edição
316,CONJUNTOS E LOGICA FUZZY
317,Algoritmos Para Leigos
318,Modelagem Matemática de Doenças Infecciosas - Com aplicação em Python para Covid-19
319,Algoritmos e programação II com C# (Série Universitária)
320,Plasticidade: teoria e exemplos na engenharia
321,Plasticidade: teoria e exemplos na engenharia
322,Coletânea PYTHON NA PRÁTICA Vol. 3: Aprenda Python Através de Exercícios Resolvidos e Comentados
323,Aprenda o básico de Python: Direto ao ponto
324,PUDIM PROJECT: Python Volume 01 - Funções Essenciais (Python PUDIM PROJECT Livro 1)
325,Python Em 30 Dias
326,Curso Básico de Python
327,Programação com Arduino: Começando com Sketches
328,Controle e Modelagem Fuzzy
329,"Mudanças Cerebrais Devido a Psicoterapia: Alterações nos Padrões Energéticos Cerebrais, Quantificados por Eletroencefalografia Quantitativa (qEEG), ... Psicoterapêutico Cognitivo Comportamental"
330,PUDIM PROJECT: Python Volume 04 - Funções para Automatização (Python PUDIM PROJECT Livro 4)
331,PUDIM PROJECT: Python Volume 03 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 3)
332,"R para Data Science: importe, arrume, transforme, visualize e modele dados"
333,Robot framework: Automação versátil e consistente para testes
334,O Mínimo que você precisa saber sobre Banco de Dados e SQL: Uma abordagem prática e muito simples – para verdadeiros iniciantes (produtividadeprogramada.com.br)
335,Aprenda Python em 2h: Com Projeto Backend Completo Grátis
336,Tópicos Avançados em Python - Fernando Feltrin
337,PUDIM PROJECT: Python Volume 05 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 5)
338,Aprendizado profundo Para Leigos
339,Coletânea Python Na Prática - 3 Volumes
340,Código De Processo Civil Comentado
341,Análise Estatística da Decisão
342,Ebook: Python para Leigos - Um Guia Completo para Iniciantes
343,Python para Pessoas com TDAH: Curso Passo a Passo de Programação
344,Cálculo Numérico
345,Introdução à Economia: com aplicações em Python
346,Dicionário de Termos Técnicos de Informática - 3a. edição
347,USE PYTHON NO POWER BI: Aumente sua produtividade com uso da linguagem Python
348,IoT com MicroPython e NodeMCU
349,Programação Definitiva De Redes Neurais Com Python
350,Análise de Dados Financeiros e Econômicos com o R
351,Desvendando o MongoDB. Do Mongo Shell ao Java Driver
352,Curso De Programação Em Python Para Iniciantes
353,ALGORITMOS COM PYTHON PARA INICIANTES
354,"Bíblia do MageAI, integração de dados e software ETL Pipelines integrados ao controle de versão Git"
355,Python na Prática da Inteligência Artificial: Do Zero às Aplicações Avançadas
356,Coletânea PYTHON TOTAL: Edição Tópicos Avançados / Especiais em Python
357,Introdução ao Machine Learning: Com Python e Scikit-Learn
358,Como usar o Chatgpt para programar: Python
359,Python: 301 Perguntas e Respostas de Especialistas
360,Python do Básico ao Avançado - Fernando Feltrin
361,Arrays com Python + Numpy - Fernando Feltrin
362,Computação Evolucionária: Aplique os algoritmos genéticos com Python e Numpy
363,Coletânea Deep Learning em Python: Do básico ao avançado
364,Criatividade
365,Desenvolvimento Back-end com Python e JavaScript
366,Redes Neurais Artificiais: Fernando Feltrin
367,Código Limpo
368,Python Essencial Da Ciência de Dados à Automação
369,Desenvolvimento Back-end com Python e JavaScript
370,"Internet das Coisas com ESP8266, Arduino e Raspberry Pi 2ª edição: Atualizado para ESP32"
371,Matemática para Computação: Fundamentos e Aplicações
372,Introdução à Programação usando Python
373,Integração numérica: Série Cálculo Numérico para todos
374,Introdução à visão computacional usando Matlab
375,Programação Python: O guia definitivo para iniciantes e desenvolvedores experientes
376,Python Resumido
377,Programação Descomplicada: As principais linguagens de programaçao e para que servem
378,Introdução aos Métodos Estatísticos Para Economia e Finanças
